model,drop_mm = K_mm_per_m2 * x_m^2
K_mm_per_m2,39.519876992
K_m_per_m2,0.039519876992
equivalent_velocity_mps,11.138777987
rmse_mm,17.782494558
mae_mm,14.549383386
r2,0.909138639
kept_count,106
discarded_count,1

group,x_cm,n,mean_height_mm,mean_drop_mm,fit_height_mm,fit_drop_mm
1,213.000,10,166.700000,193.300000,180.702270,179.297730
2,208.000,10,178.500000,181.500000,189.021204,170.978796
3,210.000,10,177.700000,182.300000,185.717342,174.282658
4,235.000,10,124.000000,236.000000,141.751479,218.248521
5,253.000,10,110.000000,250.000000,107.037219,252.962781
6,255.000,9,104.555556,255.444444,103.022000,256.978000
7,268.000,10,73.300000,286.700000,76.152435,283.847565
8,279.000,9,59.555556,300.444444,52.373326,307.626674
9,283.000,10,63.600000,296.400000,43.489257,316.510743
10,287.000,10,42.300000,317.700000,34.478725,325.521275
11,161.000,8,237.875000,122.125000,257.560527,102.439473

discarded_group,x_cm,height_mm,drop_mm
8,279.000,100.000000,260.000000
